epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,1995.22,1.10318,0.91611,1.12311,0.83801,0.76983,0.84957,0.52892,1.28848,0.92033,1.26791,0.0011354,0.0011354,0.0011354
133,2010.57,1.08937,0.90309,1.12673,0.85034,0.75993,0.82996,0.50772,1.3613,0.92293,1.2995,0.0011288,0.0011288,0.0011288
134,2025.4,1.07211,0.89778,1.10954,0.85075,0.75739,0.83629,0.51735,1.29413,0.92448,1.27626,0.0011222,0.0011222,0.0011222
135,2040.54,1.09069,0.92612,1.13007,0.89334,0.82059,0.89865,0.57726,1.20486,0.78861,1.2133,0.0011156,0.0011156,0.0011156
136,2055.24,1.092,0.9316,1.12284,0.88786,0.80037,0.88203,0.56296,1.2464,0.82673,1.23456,0.001109,0.001109,0.001109
137,2069.59,1.09621,0.89922,1.11984,0.82974,0.75033,0.81224,0.48476,1.35471,0.98031,1.30458,0.0011024,0.0011024,0.0011024
138,2084.29,1.07932,0.89917,1.11352,0.85505,0.7776,0.86352,0.54171,1.30661,0.87495,1.254,0.0010958,0.0010958,0.0010958
139,2099.17,1.08387,0.90409,1.11822,0.84565,0.76205,0.84819,0.5413,1.26211,0.88077,1.24478,0.0010892,0.0010892,0.0010892
140,2113.93,1.08426,0.90171,1.11276,0.85514,0.81026,0.8736,0.55839,1.24359,0.8281,1.23456,0.0010826,0.0010826,0.0010826
141,2129.01,1.08386,0.87898,1.10505,0.85531,0.80404,0.87027,0.55062,1.27549,0.83406,1.24044,0.001076,0.001076,0.001076
142,2144.17,1.08231,0.8616,1.10974,0.82428,0.77331,0.82729,0.51772,1.35159,0.96284,1.29726,0.0010694,0.0010694,0.0010694
143,2158.98,1.07299,0.88802,1.10881,0.83577,0.78694,0.85407,0.53539,1.32904,0.87799,1.2946,0.0010628,0.0010628,0.0010628
144,2174.01,1.05465,0.8776,1.1131,0.79768,0.75117,0.80355,0.47174,1.4141,0.95477,1.33528,0.0010562,0.0010562,0.0010562
145,2189.05,1.04601,0.88154,1.10604,0.85298,0.76827,0.84013,0.51214,1.31439,0.86668,1.28024,0.0010496,0.0010496,0.0010496
146,2203.63,1.08943,0.86762,1.11121,0.84308,0.8507,0.87504,0.55444,1.26973,0.79041,1.24032,0.001043,0.001043,0.001043
147,2218.73,1.07717,0.85912,1.1105,0.83277,0.79627,0.86092,0.53648,1.30504,0.84902,1.25853,0.0010364,0.0010364,0.0010364
148,2234.44,1.0642,0.88204,1.11739,0.87292,0.79052,0.86476,0.53957,1.30964,0.85276,1.28541,0.0010298,0.0010298,0.0010298
149,2249.29,1.07416,0.87643,1.1095,0.86493,0.79668,0.86543,0.54154,1.29871,0.85278,1.25623,0.0010232,0.0010232,0.0010232
150,2264.04,1.07189,0.86912,1.11226,0.86337,0.7776,0.85199,0.52928,1.2927,0.9001,1.26618,0.0010166,0.0010166,0.0010166
151,2278.6,1.05122,0.86391,1.11352,0.83598,0.76891,0.82799,0.52128,1.31107,0.93942,1.26328,0.00101,0.00101,0.00101
152,2298.3,1.05725,0.84973,1.11777,0.83887,0.80249,0.87034,0.55298,1.25136,0.85175,1.24235,0.0010034,0.0010034,0.0010034
153,2318.3,1.06896,0.86096,1.11013,0.81473,0.79627,0.83856,0.51688,1.31645,0.90317,1.28385,0.0009968,0.0009968,0.0009968
154,2335.44,1.03922,0.83685,1.09885,0.86447,0.78365,0.85501,0.5439,1.31189,0.84857,1.26715,0.0009902,0.0009902,0.0009902
155,2349.48,1.03569,0.87488,1.10843,0.87104,0.73095,0.84243,0.53887,1.2724,0.87372,1.24751,0.0009836,0.0009836,0.0009836
156,2363.13,1.03714,0.84117,1.09626,0.82279,0.83761,0.87263,0.55668,1.23893,0.82177,1.2194,0.000977,0.000977,0.000977
157,2377.2,1.07266,0.85426,1.1107,0.85027,0.82115,0.88327,0.56622,1.22495,0.79044,1.22654,0.0009704,0.0009704,0.0009704
158,2391.01,1.05027,0.84532,1.10019,0.87297,0.76948,0.85489,0.54723,1.28337,0.83422,1.27415,0.0009638,0.0009638,0.0009638
159,2405.17,1.05622,0.86369,1.10234,0.87754,0.71384,0.80982,0.51151,1.34154,0.94966,1.30541,0.0009572,0.0009572,0.0009572
160,2419.24,1.04864,0.83881,1.10718,0.85823,0.76672,0.84282,0.51993,1.30988,0.84105,1.28064,0.0009506,0.0009506,0.0009506
161,2432.91,1.04756,0.83163,1.09259,0.8613,0.76827,0.84672,0.53688,1.27549,0.86001,1.2516,0.000944,0.000944,0.000944
162,2449.05,1.02103,0.80597,1.09266,0.85882,0.80413,0.87426,0.54547,1.28425,0.81046,1.24358,0.0009374,0.0009374,0.0009374
163,2463.41,1.01316,0.80684,1.07547,0.82798,0.77851,0.8362,0.50769,1.31549,0.88027,1.26804,0.0009308,0.0009308,0.0009308
164,2478.04,1.03418,0.80835,1.09184,0.86805,0.79802,0.87067,0.55556,1.23948,0.83721,1.22144,0.0009242,0.0009242,0.0009242
165,2492.84,1.01666,0.81806,1.07721,0.84915,0.83169,0.88823,0.56745,1.22313,0.77908,1.21112,0.0009176,0.0009176,0.0009176
166,2507.34,1.01843,0.8098,1.09352,0.87128,0.78538,0.85284,0.53978,1.29507,0.87544,1.2769,0.000911,0.000911,0.000911
167,2522.06,1.03729,0.82586,1.0967,0.84981,0.80093,0.86855,0.56783,1.24554,0.85314,1.2419,0.0009044,0.0009044,0.0009044
168,2537.53,1.01187,0.82388,1.0874,0.87982,0.83116,0.9005,0.5916,1.18754,0.74758,1.20056,0.0008978,0.0008978,0.0008978
169,2553.67,1.02006,0.82239,1.08512,0.8731,0.81804,0.89382,0.58807,1.19886,0.75365,1.20589,0.0008912,0.0008912,0.0008912
170,2568.01,0.99847,0.80255,1.07629,0.85323,0.78658,0.84339,0.54242,1.26717,0.8542,1.23977,0.0008846,0.0008846,0.0008846
171,2587.1,1.03677,0.80674,1.09014,0.82471,0.74495,0.81855,0.51438,1.32845,0.95122,1.27771,0.000878,0.000878,0.000878
172,2602.56,1.02128,0.7964,1.07561,0.8508,0.78538,0.86793,0.53547,1.30748,0.83152,1.25326,0.0008714,0.0008714,0.0008714
173,2616.77,1.00912,0.79934,1.09037,0.85244,0.83204,0.88381,0.56153,1.26245,0.79292,1.23247,0.0008648,0.0008648,0.0008648
174,2631.04,1.00345,0.7918,1.08593,0.8296,0.78849,0.85154,0.52562,1.30235,0.85728,1.27293,0.0008582,0.0008582,0.0008582
175,2646.15,1.02032,0.80854,1.08674,0.82724,0.72234,0.79596,0.48165,1.38045,0.96894,1.31595,0.0008516,0.0008516,0.0008516
176,2665.66,0.99893,0.78273,1.07888,0.88959,0.8056,0.88481,0.57361,1.22856,0.80271,1.23431,0.000845,0.000845,0.000845
177,2685.47,0.99659,0.78474,1.07173,0.86078,0.8367,0.89507,0.58142,1.21592,0.75314,1.22501,0.0008384,0.0008384,0.0008384
178,2704.94,0.98768,0.78822,1.08142,0.84934,0.83288,0.88771,0.57748,1.23145,0.77725,1.22385,0.0008318,0.0008318,0.0008318
179,2723.68,0.973,0.7564,1.07265,0.86251,0.80249,0.87337,0.55256,1.25901,0.80456,1.24241,0.0008252,0.0008252,0.0008252
